"Date","Price","Open","High","Low","Vol.","Change %"
"11/01/2020","1,172.34","1,136.75","1,172.34","1,136.75","","3.13%"
"10/25/2020","1,136.75","1,175.33","1,177.54","1,103.61","","-3.28%"
"10/18/2020","1,175.33","1,171.80","1,187.80","1,168.19","","0.30%"
"10/11/2020","1,171.80","1,190.01","1,190.01","1,154.85","","-1.53%"
"10/04/2020","1,190.01","1,165.01","1,190.01","1,160.13","","2.15%"
"09/27/2020","1,165.01","1,171.35","1,188.73","1,156.65","","-0.54%"
"09/20/2020","1,171.35","1,206.55","1,206.55","1,169.99","","-2.92%"
"09/13/2020","1,206.55","1,212.45","1,217.08","1,187.79","","-0.49%"
"09/06/2020","1,212.45","1,240.24","1,245.43","1,208.77","","-2.24%"
"08/30/2020","1,240.24","1,226.21","1,270.37","1,207.99","","1.14%"
"08/23/2020","1,226.21","1,186.29","1,236.10","1,186.17","","3.37%"
"08/16/2020","1,186.29","1,153.28","1,186.71","1,149.10","","2.86%"
"08/09/2020","1,153.28","1,142.18","1,153.72","1,133.50","","0.97%"
"08/02/2020","1,142.18","1,134.34","1,146.10","1,128.03","","0.69%"
"07/26/2020","1,134.34","1,173.93","1,182.65","1,134.34","","-3.37%"
"07/19/2020","1,173.93","1,156.16","1,184.34","1,150.35","","1.54%"
"07/12/2020","1,156.16","1,147.78","1,156.16","1,138.17","","0.73%"
"07/05/2020","1,147.78","1,125.26","1,153.59","1,121.84","","2.00%"
"06/28/2020","1,125.26","1,110.65","1,129.19","1,107.59","","1.32%"
"06/21/2020","1,110.65","1,161.41","1,161.41","1,110.65","","-4.37%"
"06/14/2020","1,161.41","1,143.13","1,180.71","1,135.88","","1.60%"
"06/07/2020","1,143.13","1,203.07","1,228.73","1,119.22","","-4.98%"
"05/31/2020","1,203.07","1,095.84","1,207.82","1,093.17","","9.79%"
"05/24/2020","1,095.84","1,057.66","1,096.74","1,057.66","","3.61%"
"05/17/2020","1,057.66","1,053.75","1,083.22","1,053.75","","0.37%"
"05/10/2020","1,053.75","1,110.26","1,112.50","1,038.34","","-5.09%"
"05/03/2020","1,110.26","1,142.04","1,142.04","1,087.33","","-2.78%"
"04/26/2020","1,142.04","1,122.37","1,166.03","1,114.14","","1.75%"
"04/19/2020","1,122.37","1,192.08","1,205.04","1,120.39","","-5.85%"
"04/12/2020","1,192.08","1,187.13","1,221.39","1,171.10","","0.42%"
"04/05/2020","1,187.13","1,127.55","1,199.41","1,127.55","","5.28%"
"03/29/2020","1,127.55","1,147.54","1,147.54","1,056.81","","-1.74%"
"03/22/2020","1,147.54","919.59","1,167.04","895.58","","24.79%"
"03/15/2020","919.59","1,174.31","1,174.31","880.72","","-21.69%"
"03/08/2020","1,174.31","1,502.84","1,502.84","1,159.56","","-21.86%"
"03/01/2020","1,502.84","1,549.61","1,573.56","1,499.83","","-3.02%"
"02/23/2020","1,549.61","1,631.45","1,633.83","1,517.13","","-5.02%"
"02/16/2020","1,631.45","1,664.40","1,681.72","1,623.34","","-1.98%"
"02/09/2020","1,664.40","1,654.70","1,665.33","1,641.70","","0.59%"
"02/02/2020","1,654.70","1,623.83","1,659.21","1,620.52","","1.90%"
"01/26/2020","1,623.83","1,647.91","1,647.91","1,618.54","","-1.46%"
"01/19/2020","1,647.91","1,656.04","1,660.49","1,642.49","","-0.49%"
"01/12/2020","1,656.04","1,654.93","1,658.71","1,641.77","","0.07%"
"01/05/2020","1,654.93","1,676.49","1,677.60","1,639.30","","-1.29%"
"12/29/2019","1,676.49","1,661.21","1,676.49","1,648.49","","0.92%"
"12/22/2019","1,661.21","1,642.86","1,673.36","1,637.88","","1.12%"
"12/15/2019","1,642.86","1,630.80","1,646.91","1,612.92","","0.74%"
"12/08/2019","1,630.80","1,611.67","1,632.27","1,600.64","","1.19%"
"12/01/2019","1,611.67","1,611.92","1,619.74","1,583.11","","-0.02%"
"11/24/2019","1,611.92","1,613.84","1,613.84","1,572.86","","-0.12%"
"11/17/2019","1,613.84","1,627.25","1,627.25","1,588.21","","-0.82%"
"11/10/2019","1,627.25","1,636.23","1,644.24","1,613.53","","-0.55%"
"11/03/2019","1,636.23","1,645.88","1,666.80","1,633.43","","-0.59%"
"10/27/2019","1,645.88","1,628.55","1,645.88","1,611.63","","1.06%"
"10/20/2019","1,628.55","1,578.61","1,628.85","1,574.50","","3.16%"
"10/13/2019","1,578.61","1,590.86","1,595.18","1,572.35","","-0.77%"
"10/06/2019","1,590.86","1,593.05","1,598.02","1,580.77","","-0.14%"
"09/29/2019","1,593.05","1,584.99","1,593.05","1,568.52","","0.51%"
"09/22/2019","1,584.99","1,594.22","1,607.53","1,574.00","","-0.58%"
"09/15/2019","1,594.22","1,580.60","1,602.21","1,574.44","","0.86%"
"09/08/2019","1,580.60","1,567.53","1,592.67","1,567.01","","0.83%"
"09/01/2019","1,567.53","1,559.52","1,571.97","1,544.82","","0.51%"
"08/25/2019","1,559.52","1,505.29","1,559.52","1,505.29","","3.60%"
"08/18/2019","1,505.29","1,542.81","1,559.84","1,504.70","","-2.43%"
"08/11/2019","1,542.81","1,537.80","1,560.26","1,502.28","","0.33%"
"08/04/2019","1,537.80","1,543.38","1,548.77","1,502.95","","-0.36%"
"07/28/2019","1,543.38","1,580.56","1,586.38","1,532.11","","-2.35%"
"07/21/2019","1,580.56","1,600.39","1,603.50","1,579.69","","-1.24%"
"07/14/2019","1,600.39","1,605.15","1,622.37","1,582.47","","-0.30%"
"07/07/2019","1,605.15","1,579.19","1,606.03","1,576.08","","1.64%"
"06/30/2019","1,579.19","1,548.98","1,583.81","1,538.76","","1.95%"
"06/23/2019","1,548.98","1,560.19","1,567.36","1,545.17","","-0.72%"
"06/16/2019","1,560.19","1,526.36","1,562.98","1,518.00","","2.22%"
"06/09/2019","1,526.36","1,509.82","1,527.05","1,499.16","","1.10%"
"06/02/2019","1,509.82","1,487.00","1,510.69","1,482.28","","1.53%"
"05/26/2019","1,487.00","1,489.41","1,489.81","1,457.26","","-0.16%"
"05/19/2019","1,489.41","1,500.05","1,501.54","1,469.00","","-0.71%"
"05/12/2019","1,500.05","1,550.38","1,550.73","1,496.22","","-3.25%"
"05/05/2019","1,550.38","1,555.38","1,555.38","1,532.59","","-0.32%"
"04/28/2019","1,555.38","1,597.75","1,597.75","1,555.32","","-2.65%"
"04/21/2019","1,597.75","1,574.31","1,600.97","1,562.88","","1.49%"
"04/14/2019","1,574.31","1,604.97","1,606.52","1,564.61","","-1.91%"
"04/07/2019","1,604.97","1,599.83","1,626.58","1,599.03","","0.32%"
"03/31/2019","1,599.83","1,587.74","1,609.28","1,574.12","","0.76%"
"03/24/2019","1,587.74","1,597.19","1,615.28","1,563.03","","-0.59%"
"03/17/2019","1,597.19","1,579.72","1,634.17","1,575.19","","1.11%"
"03/10/2019","1,579.72","1,503.01","1,585.46","1,503.01","","5.10%"
"03/03/2019","1,503.01","1,515.35","1,533.17","1,499.26","","-0.81%"
"02/24/2019","1,515.35","1,491.74","1,527.94","1,490.22","","1.58%"
"02/17/2019","1,491.74","1,488.84","1,493.70","1,469.92","","0.19%"
"02/10/2019","1,488.84","1,468.77","1,488.84","1,464.91","","1.37%"
"02/03/2019","1,468.77","1,462.03","1,494.76","1,458.02","","0.46%"
"01/27/2019","1,462.03","1,425.47","1,462.03","1,417.21","","2.56%"
"01/20/2019","1,425.47","1,392.95","1,427.24","1,387.32","","2.33%"
"01/13/2019","1,392.95","1,388.38","1,397.33","1,381.77","","0.33%"
"01/06/2019","1,388.38","1,356.75","1,388.38","1,355.74","","2.33%"
"12/30/2018","1,356.75","1,325.93","1,360.45","1,318.28","","2.32%"
"12/23/2018","1,325.93","1,301.86","1,332.00","1,290.90","","1.85%"
"12/16/2018","1,301.86","1,359.31","1,359.31","1,293.61","","-4.23%"
"12/09/2018","1,359.31","1,382.45","1,385.58","1,350.89","","-1.67%"
"12/02/2018","1,382.45","1,379.24","1,410.01","1,374.47","","0.23%"
"11/25/2018","1,379.24","1,370.91","1,395.60","1,369.15","","0.61%"
"11/18/2018","1,370.91","1,436.90","1,436.90","1,369.79","","-4.59%"
"11/11/2018","1,436.90","1,419.91","1,441.73","1,387.23","","1.20%"
"11/04/2018","1,419.91","1,390.97","1,429.69","1,386.13","","2.08%"
"10/28/2018","1,390.97","1,397.17","1,413.89","1,378.78","","-0.44%"
"10/21/2018","1,397.17","1,452.38","1,454.46","1,383.91","","-3.80%"
"10/14/2018","1,452.38","1,462.71","1,482.37","1,444.42","","-0.71%"
"10/07/2018","1,462.71","1,494.99","1,499.75","1,454.12","","-2.16%"
"09/30/2018","1,494.99","1,506.07","1,526.32","1,494.90","","-0.74%"
